"Ch1.Amplitude","Ch2.Amplitude"
2159.46361166319,2105.48691944217
2012.31138039283,1694.3729935248
2181.55362950299,1759.00378477263
1484.76268633489,1888.85096139461
2086.22766207102,2154.62080768681
1689.48903969503,1832.77673463291
2273.47574383518,2169.17224008816
2079.70815396101,1968.46798607629
2177.92287678367,1970.352269101
1926.06366324989,2188.1364107473
1837.61176609968,1980.42876474973
1965.41879706413,1687.8721332149
2288.25266727423,1865.78831259666
2099.46917939278,2313.84835097838
1780.29328664836,1982.83861441942
2398.54931817395,2252.57333988207
2003.60195701859,2306.11417527984
2322.88887262692,2034.97389960762
2038.59636651371,1824.11751433943
2118.63727007382,1873.48628777995
2163.03965572061,1566.98485049733
1872.74175017524,2184.39258970277
1926.8567704163,2101.46740540782
1817.54598888874,1860.07504728264
1964.64100512928,2261.58397231778
2010.91031412586,1625.53178190912
2075.18879283461,2221.45610009025
2247.7239244562,2017.50313722976
1782.6200952929,1883.58729448131
2040.19642177547,1759.53738466118
1796.97120736156,1810.85857904654
1805.03049630373,2357.2220202687
1817.3765489257,1888.92640631512
1770.62655064841,1872.18117649414
2334.23149553628,1739.31032797506
2214.10037482304,1919.66890452457
1888.59214407443,2062.01112518286
2294.19765309503,1629.4247445399
2071.25893397861,1872.97212088888
2291.55255949586,2055.91002554379
1453.2085885999,2256.55932762966
1963.15693977503,2054.10885258017
1859.56708283713,2025.41639581824
1744.28686496874,1887.16769304737
1963.26923429962,1744.37531501931
1980.36664793635,2315.19334442976
2327.48488380015,1800.41118442103
1865.77276350744,2079.58369200423
1881.69965217012,2108.04038073623
2228.1719381279,2166.25701810028
2211.40022542623,2131.48458633383
1985.28418794715,2062.42607921305
1620.9893288124,2054.55751364898
1994.80684126082,1814.88454539546
1886.32910902166,1852.44391113743
1791.65974787194,1837.49794236247
1898.1061925585,2205.70383382305
1956.02195671387,2089.78724878823
2070.21637293291,2035.96462445987
1696.59646582958,2055.62139110676
2239.13146580139,2092.62330522126
2043.71796525657,2088.57203746071
2326.67515736973,2194.74462427774
2625.08480927806,1352.6074675227
2075.96914565387,2245.43460793573
2256.78404825504,1988.24514378431
1679.56742343254,2363.12291035131
1958.69001103365,1928.74754657891
2137.57715022903,1906.80542216067
1780.21495363439,1989.64873957495
2337.17070915725,2168.59372705616
1990.74308975736,1929.33693056222
1982.47640467032,2030.40313494582
1971.49394940468,2003.90439260327
2143.59078483751,2340.34132180437
2035.86061447175,1809.117204047
2112.32047757561,2002.74866954543
1176.76893204097,1838.43743722311
1756.33783795586,2099.00217083173
1931.03365853298,2380.84907615728
2225.28846157074,2052.41114159533
2016.39282423222,1667.69844160228
1850.49123142723,1757.99969362349
1889.21192133609,2123.48997963121
1995.50179566656,1638.30740002676
2305.95493061017,1783.73827164943
1892.62066516818,2160.30104529146
2288.99980250402,2068.49174196103
2434.0193397616,2511.70616604642
2411.06863120242,1704.95671182195
1928.24322017696,1669.38414302271
2019.33817002676,2156.46088027295
2275.82413540956,1970.33612079366
1706.91511667287,1848.26886910343
2059.82934417953,2015.80647144113
1911.22371492156,2094.32543927149
2018.58994281667,2114.14218355828
2258.32250585114,1903.44502232601
1555.48357988403,2148.35762316579
1671.09771591466,2010.02538136457
2099.66524633037,1839.97591935411
1687.09754495425,1890.68465107513
1448.9268608054,2069.46007447846
2355.82689812493,2242.78725353953
1863.20247965172,1785.60978715562
2082.34318416105,1974.13732562704
2160.7860900724,1896.70816105237
1959.33274017528,1863.77352673826
2068.13113391126,1732.85834826801
2174.4085891476,2279.80291645195
1870.95629896769,2348.08268493385
2071.74776253924,1687.68636625128
2215.14506394759,1680.23314293771
1858.26559403706,2065.9250467502
1899.62662655394,1806.09579455781
2104.87668962001,2092.13736160533
2180.98835297578,2127.78736230177
1624.41641606559,1583.60993570598
2274.07617657426,1821.0570181913
1767.86819463572,1906.43934433476
1813.87235361468,2066.4544364903
1974.52855406193,2091.70810275284
2055.49273430525,2233.18509897061
2022.12523969768,1958.24041089325
1678.60717078775,1996.1817168152
1429.25600138515,2271.97122291341
1750.44163739279,1966.64388360061
2267.82066808635,1941.47195312725
2155.20533955312,1400.07558973844
2049.94366287513,2437.64228386152
2066.87969066517,1948.34172131208
1715.74991948974,2303.55272777939
2495.8205187305,1837.3908780168
1989.68538647741,1834.78111466372
1785.94763036595,1980.17919210086
2141.08495598909,2316.13249579952
1925.08276363543,1831.20454778809
1995.39652918387,2067.33907912818
2224.60495314076,2331.46089995224
2328.74090696141,1905.52272236113
1875.35974219227,2077.30090284544
1818.59493361868,2229.4307628197
1840.42192677469,1736.15328861389
1675.68099160205,2205.12857176702
1559.40914951784,1679.72537727513
1747.77703763536,1937.88134627228
1836.70796808317,1767.96414619101
1943.08975810895,2394.76249763965
1518.4230741584,1738.41154515897
1698.2654019679,1368.32633665823
1820.68773640383,1621.23594099954
2289.65948276959,1863.74139959394
2462.9869283315,1924.75998684484
1727.75096572707,1869.24794721077
1982.22941286271,1943.17142525747
1715.63749818461,1970.38406954924
1653.66083128952,2166.19123451333
1792.54860778311,1773.52886633325
2083.4131464809,1799.98413032483
1537.4871521341,2090.25975864884
2122.42993716515,1838.07507784325
2402.77616226852,1610.18890581063
2081.7722063272,2023.05817440673
1468.13836274695,2230.4501749024
2159.03483901521,2106.45639533144
2278.61362443444,1714.39907939444
1795.11885879078,1826.7268324262
2220.84201410169,1906.69447854549
2502.18163044811,1995.78089429222
1818.57714855747,2064.39599738413
1747.3212773937,2016.67542860695
2038.97913722118,2013.89267902029
1965.68473434783,2251.16414980556
2056.74213911432,2082.76861389851
2034.26107552597,2118.83481534936
1877.88897280032,1956.66348130744
1838.7212768133,1769.11355200012
1259.77746663627,2113.07131776857
1992.43832584303,2171.61156731705
2229.53284819229,2508.91915625253
2114.1650409513,1731.55430400212
